delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,state
257256,212071,121382,8704,28665,57822,29081,36883,187307,37562,6651,5173,780,4215,2530,1825,0
1197209,126980,1743,14687,4093,19751,23320,12688,1323767,115785,18612,5718,15328,27665,13146,12975,0
2108310,302639,212254,82402,60501,190857,105259,57293,453985,293397,24631,80501,56131,49555,28034,33138,0
1003180,19852,7348,9376,10013,6292,12163,8377,6298,4927,4063,13101,8825,56719,20156,18794,1
119036,87285,28466,6813,16561,7876,12670,10490,794706,112182,15448,15370,6805,20351,10308,8387,1
1282056,405072,194155,68885,21570,65712,37043,47422,1154053,53431,17638,13137,13500,22276,22183,17310,0
68164,103630,23859,55914,11324,35133,31148,9992,1293589,104177,12026,23281,9175,17341,38577,10909,1
1208263,67430,62178,5786,12446,24252,19779,11208,1109615,402176,37008,34507,32619,62219,169192,43622,1
1067591,195658,102354,17799,43754,62336,124470,120545,81124,45091,1557,1917,3270,14920,3358,4159,0
625769,20315,8102,3957,2518,6426,3546,1371,1317516,17820,14801,8325,2206,2909,1751,2427,1
1663993,546718,73016,69683,34324,88270,82327,129020,1136242,1292544,315067,78663,72248,132322,82378,65010,0
839133,203800,268209,57176,55016,48734,51832,40056,382587,81966,20415,30422,14572,8738,9953,11510,1
191856,33090,14378,3615,5992,11372,14296,1989,998349,542967,71840,140096,35313,97199,49038,92489,0
148318,18837,10570,1659,763,12530,9057,3510,2294070,269643,9732,36211,32713,164231,86897,25657,0
82632,32766,7153,2397,2554,7205,3258,1320,1803354,119259,29127,6641,4641,15295,15283,6615,0
583564,106947,35545,22899,15142,42132,19977,21623,660862,273811,23739,25795,18162,20143,7427,11304,0
1615663,138840,12766,31127,16510,53232,44187,40576,521329,75422,7598,5489,1380,44128,7779,11202,1
1008209,190970,23862,4259,12634,5865,2333,4189,725731,56881,96305,8951,3639,22400,5248,14698,0
1114101,238477,148533,38711,25130,162752,42969,57012,543300,79642,22188,13762,20962,23686,16446,4974,1
114095,117368,15988,4038,5992,6881,4756,2606,1088618,392634,13134,12792,26068,140008,59207,28601,1
1593224,725591,61820,38148,44755,81080,75355,60932,703670,48467,7188,12056,6093,31285,10375,8549,0
131421,69654,1365,2647,2807,4001,4073,6928,783780,155582,33479,3794,12322,14129,5894,6941,1
393484,40779,1976,5836,17662,7100,20878,16452,875883,34385,1375,6759,10997,14282,13558,8337,0
489675,149763,32377,12699,11264,23071,50269,9550,428554,259655,49306,5684,12425,28867,23929,20557,1
2010144,125912,174813,108190,15888,58943,92361,23954,1694483,135230,31312,26756,12560,14049,33060,11239,1
1298773,50577,32415,4995,7532,12327,8472,11549,1676518,158940,105719,93126,10629,83202,58034,65777,1
5728,3893,8954,33716,53520,33560,11977,13945,9708,12194,6626,21378,8930,28121,18831,10626,1
1076836,220881,36485,11922,19501,18547,28540,11638,2469685,30085,17146,35820,38562,12239,19252,6608,1
614409,65363,7149,2012,1376,8027,2799,1572,50643,104097,10630,12482,3248,4710,1909,2841,0
697753,249214,43331,30119,56650,104542,115855,42313,1633334,280304,7740,50297,38014,64621,35090,30440,1
657750,224874,21028,26549,11031,62550,48037,19636,125229,102474,20521,6919,21290,29012,32023,17591,1
798615,47765,4720,6101,5045,20140,23842,13504,384105,72482,37131,3982,2835,7768,18173,7877,0
67492,45459,2657,1578,1639,3959,2016,3180,257630,15089,3852,668,2332,3588,5895,1520,0
1556926,267669,154490,84733,43958,84831,150618,89549,361162,95412,5322,13363,2493,22111,8902,9798,1
1187722,52806,19407,4255,9019,11855,7723,8953,1033321,91000,46875,5029,3937,22447,23428,6729,0
2855119,184055,42015,27033,19270,37954,66340,9635,119599,166561,17279,12594,14883,11442,7905,8850,0
520166,88563,6203,12150,9704,23085,29160,9795,1576177,259827,58567,45576,35160,44627,24939,31556,1
531815,58220,7138,7459,5158,24280,7025,17779,2317883,664392,103445,65312,40401,103274,57263,50341,1
615766,23514,12319,21443,26985,30375,13633,13860,389903,66883,2925,4081,8198,4909,16674,5203,0
570536,151284,8604,38269,11361,20489,17650,9788,441026,58480,9680,11988,11364,15433,12216,16254,0
1089810,34769,10423,4263,5207,5969,1739,1901,865501,700420,32712,13530,35160,80262,73947,38457,1
205109,13468,3599,2848,1218,4472,3234,2107,488959,120354,10814,7999,4278,11550,18835,18369,0
43090,48675,9039,12985,7863,5228,5626,3002,303027,22410,7404,14701,19326,22044,8027,4955,1
1002794,153630,17001,32549,24816,18895,11880,15723,316306,26522,9546,5705,1771,11539,8182,1998,0
298197,24281,4943,3357,2761,2127,1493,841,334406,28994,20651,7273,5573,20726,8457,13581,1
921777,582886,17075,16441,29966,96112,60427,44959,610004,43803,51524,19970,36791,12669,13674,7969,1
858571,74601,6850,6661,8644,17397,22917,8441,586423,15643,4463,1109,2995,10829,7131,2459,0
162716,24945,4236,2300,2666,4747,3716,2628,1186306,31845,4736,15229,8226,18874,21670,9904,0
1225580,158840,148297,16396,6726,48723,55419,14444,111573,54238,3933,4161,2348,5596,1992,2259,1
110606,100313,16303,7932,40520,39648,61643,16349,398942,155774,20604,3332,11603,24382,14479,9773,0
1248294,87008,2358,3683,9924,21687,8385,6614,1266345,124447,28398,4104,26695,80210,48592,31292,0
244350,60630,26062,12097,8935,42060,25015,10983,1627457,140970,24185,18240,12868,13985,14499,5865,0
402044,63913,4636,13727,13419,56457,29837,29506,180905,198754,3546,3429,10971,18389,31944,5783,0
294393,11092,7973,17388,18977,41790,39078,8766,1870505,169980,18856,24573,40216,85348,26237,27508,1
522160,21515,3741,18037,18516,34839,56224,19814,522160,21515,3741,18037,18516,34839,56224,19814,0
924827,293672,312474,39001,45975,58703,40449,54911,1713407,97724,42165,3758,31015,35294,38631,33302,1
301152,124524,36917,47028,48290,31378,31580,34098,1695007,47322,34474,41055,28527,22290,43835,35059,0
937294,76311,43735,35364,74578,64168,72674,59394,820897,110665,99107,72632,38949,23821,56372,22355,0
675027,237026,45315,96573,37314,39881,105868,45244,190810,202394,64762,27805,23801,66659,80256,22720,1
436933,62170,6254,12535,4732,24932,33536,7488,153876,65835,3498,8738,17033,7927,7096,7974,1
1550740,268563,101155,24002,9454,46291,28195,10845,992647,141244,61180,26690,29505,24207,14182,20618,1
5648,12925,2740,14582,14381,16804,36640,18103,237407,16752,1420,810,2640,7582,2949,3690,0
52032,115266,13099,5108,8736,20247,66758,18548,53892,20919,6741,1748,6525,8116,16041,5635,0
902678,98653,29342,16348,31078,36755,44496,18438,1545763,430844,21620,28345,47235,27341,19757,14499,1
422416,324862,77073,7881,17587,59194,63313,11360,472099,157499,182228,10405,52134,28655,45455,48557,1
1291287,419848,84807,21228,12582,39440,25052,20749,25695,14687,3670,16942,6237,47497,17531,5510,0
155954,46742,34376,30833,45775,20182,25235,8720,56424,31692,3872,10065,6626,3298,5619,4056,0
5159,13447,2958,14679,10860,28066,22552,13470,306764,11381,6409,7139,1313,6732,4310,7605,0
1161737,219844,33596,15687,42020,25977,26276,61549,257906,38611,6129,4810,3986,4611,3488,6047,0
923725,29312,31668,7232,4725,3637,883,1210,623453,14386,5132,5482,2490,4986,4960,1554,0
108213,4273,1403,8286,4511,11763,2858,3142,119909,49466,6826,2593,2049,7543,8329,8361,1
230676,150111,4513,12838,10686,6015,8858,4691,527227,93429,24560,9956,15336,11259,6588,5965,1
83153,60788,1811,19193,39275,41896,14944,23704,4733,13908,12987,5295,3408,21140,9729,14377,1
110743,9222,4193,565,2135,5260,5157,6557,40299,17651,4720,3044,2091,9562,4417,2808,1
23654,18908,10163,12862,1924,12925,3140,7251,390970,17405,11039,9948,5611,13300,2325,3010,1
151602,36502,16032,13086,10946,12684,2554,2264,1349,12015,17680,18039,10756,44540,37430,11632,0
199785,7429,1335,475,1871,2326,1373,1242,110841,8962,2768,1283,2275,4041,2456,3815,1
5698,14136,3755,9270,2847,14135,31640,11502,435525,11160,4656,1152,14035,4663,4361,4524,1
153957,92150,7769,2683,6829,7045,3661,3477,100763,104520,20867,38687,31794,34961,39507,8458,1
44568,7893,3824,1324,2179,855,1034,469,174636,27995,4459,4587,4019,4937,3528,3073,1
256100,213355,20280,20781,25616,31055,30973,17251,256100,213355,20280,20781,25616,31055,30973,17251,1
231520,196191,12512,21643,10605,13670,13197,11144,46079,25896,10891,16019,16300,22181,37090,19143,1
99825,93698,8616,2186,2750,6256,6385,5233,68193,24397,8270,1152,23989,16610,12848,21080,0
428915,253857,31644,37379,51967,42244,39778,27309,793841,39106,41393,8348,79462,33448,15062,33340,1
74206,12242,4106,3979,5786,11522,4771,1837,65612,8059,3660,11551,7579,2352,4368,4499,0
675370,27289,12493,7822,4290,2027,1285,520,182249,91681,22072,12238,6343,15778,3970,4066,0
97343,50811,6793,11464,7767,11055,11841,3225,1003522,229328,51888,16201,28132,45867,31678,15961,1
622039,27662,7141,4470,3326,2542,4529,2860,136715,97407,6443,3391,3561,4569,6357,1231,1
31265,10523,7137,13386,8217,12236,6202,6934,5166,9256,1241,16997,23999,9983,17801,5337,1
98263,31237,16238,2665,3271,9068,8177,6179,551469,99488,49242,14876,5718,41956,13211,9148,0
1507931,156320,14817,10147,26700,61217,24171,9334,1094847,377187,36288,54433,33101,38368,45077,15924,1
310178,22579,10553,2901,21720,11373,2857,4714,2640395,772823,24441,33169,25257,44096,31128,31786,1
1282122,94065,15637,22707,45591,12899,13895,10071,39901,27489,5213,3366,4409,11135,5537,6165,0
273226,51992,7727,3659,4169,25220,21670,8960,6608,12941,9514,3192,39613,38851,24386,26847,0
667284,107878,34622,12387,9906,9730,10581,6726,291596,288798,18321,10555,30479,60877,28513,22636,0
581502,802032,50057,176628,59859,134007,65287,42905,275357,54492,7615,10755,12733,9984,8159,7580,0
315744,278373,19836,10971,8939,17352,3458,5333,3109403,223271,54653,191651,63627,51566,35715,26957,1
446487,25662,16572,2303,4711,15797,12886,3758,896102,103115,17062,33950,6548,18409,7673,14022,0
467489,163096,25373,27928,44966,29481,35490,45747,261784,195588,5660,35144,10112,56042,80699,26255,0
1450041,109904,84388,12202,25610,31987,11180,11649,941958,54003,18735,11675,1778,22431,24099,11408,1
2242841,232494,31303,43927,41857,41680,70171,17641,259068,49256,5108,2378,2590,12244,5562,21502,0
292630,106495,20808,23325,17835,59797,53769,31682,1615463,315030,167320,27438,53286,30666,23155,21823,1
59211,19014,29210,13661,29712,44033,47899,20364,560184,780090,73694,33137,24574,54880,43230,33422,1
617724,159411,2616,10369,7745,16919,10405,7445,1457169,125576,7233,12072,10336,100715,28335,46350,1
369077,24813,26797,16170,7833,13743,6609,5398,236160,59392,12767,24318,13000,12150,10092,5162,1
307277,166431,25740,14257,22146,75948,101346,34400,621771,417535,38441,7704,15470,55323,59452,13419,0
315608,74275,5748,9718,7644,19179,17387,7767,262160,11915,18518,6683,2070,13543,19813,5199,0
173412,164916,32659,18721,39139,27191,60111,45331,26334,26202,2463,1693,721,3604,1690,2209,0
69287,4162,2353,932,1307,5322,1772,2020,112202,15577,1194,2855,3455,2950,2121,4301,1
156579,13234,3508,2376,1022,3871,2694,2106,231727,44862,3161,3918,832,3093,1616,1375,0
825555,95397,28329,12491,15515,68294,43979,38858,92264,68377,24764,5434,10277,15349,8226,4876,0
1674310,227852,12729,1699,6899,36415,14272,8857,783982,85917,12085,4943,5644,14175,9399,4895,1
1243920,49758,25564,15517,14108,42706,79280,35620,613534,88643,29244,9497,8868,11836,22920,9139,1
275833,91956,8830,9718,3567,14252,6994,5793,239773,42698,6473,11060,1360,19345,11574,4104,0
