delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
160451-5237-232099-275905-35151-173668-39402-4299,4884-19413-52476-29488-34271-44940-7321-1572,2219-1457-8186-4766-4892-14578-2167-1072,3395-17456-2891-31937-20177-5170-3648-1171,3565-11750-4464-21975-33986-3112-1865-1280,2822-12024-2445-15628-19164-4219-2771-5561,5293-8418-2804-21370-8935-2844-4660-1606,2753-16536-2101-15881-4388-2160-923-4106,difficult,yes
114920-28581-72169-104179-7414-85803-13580-30491,21698-23745-56501-11565-11126-4715-6200-23774,5012-1835-4313-1899-4136-1201-1872-1376,12405-2622-4079-2551-5744-3435-1811-3293,1349-1109-3345-4006-8878-2580-4024-1188,6175-2978-3953-2667-6492-2052-5944-2019,1343-2154-1611-2350-7663-1853-6663-1884,2591-2296-895-1081-2574-1861-4662-669,difficult,no
124509-64307-41022-277674-8956-4433-277597-61626,41152-6299-44994-45603-19172-16789-6439-13926,24552-2698-23032-2711-192-6234-1146-5909,915-891-13338-1899-4458-2821-5168-4383,2580-1194-27796-5531-4273-3772-1620-321,3453-843-15322-4642-4559-6438-1845-5242,2298-386-18411-2744-7231-6512-1279-2483,1499-193-9046-1562-5921-2698-1004-1308,easy,yes
471339-108973-743429-522331-213874-12081-21193-197808,148193-13859-28419-13449-19383-5394-19960-20970,40245-3953-7489-13723-19992-798-9664-7870,30625-2129-2809-14987-19981-3447-1656-1826,9889-3016-1116-7358-2281-9066-2155-1679,6810-3570-1399-4683-8019-8182-2070-3540,15318-2774-1133-3360-3381-5319-910-1045,5596-3278-1364-2343-3057-3060-1417-884,difficult,yes
23290-80341-40531-814041-529422-1203702-218905-35551,4012-11096-83058-143393-99780-78898-74221-20860,2838-3858-57902-18494-11464-10248-18030-41290,1172-699-8884-15847-30375-6133-5620-7845,1588-8934-6444-6667-5407-7480-2843-4967,737-3193-17047-5814-12054-13080-11184-3484,900-2058-14659-3720-7090-12392-8846-4188,551-1561-10265-3648-2798-10315-6172-4134,easy,yes
75638-89513-210402-89888-41625-318043-51955-42383,22643-12314-116783-16572-30021-5550-8362-11865,5703-842-17961-734-7662-11155-922-299,6066-1180-13255-1833-3396-8976-347-2132,2758-2987-10575-3037-983-6764-480-1372,2627-2615-11300-5868-3051-5738-1078-1701,1243-1926-5333-1607-3564-6919-379-1294,2139-1657-5630-944-841-2946-576-2036,easy,yes
68350-156374-97217-38265-1045128-104028-55081-46623,78684-56051-133703-20638-144638-16196-14958-16634,14502-2736-27732-4903-30305-4879-8114-6860,2288-3414-1492-2286-7349-4573-1349-1909,2647-3175-11212-4811-9641-3219-801-1686,1721-2579-5115-2127-11650-8592-3098-1867,1081-948-2322-2064-10013-6071-1164-2671,1620-1032-1590-2657-8945-4303-688-1498,easy,yes
292914-362487-340184-74404-82276-130694-43861-43861,217432-32704-48950-93022-29879-83863-23955-23955,26988-16812-9316-1264-5177-9032-3174-3174,54839-4165-8439-9697-4884-3338-3265-3265,16842-7908-2380-27441-2015-3150-2089-2089,38209-15435-14932-12329-3649-2104-3398-3398,23685-8166-9340-30971-1267-2850-2317-2317,5406-5495-19161-11897-1197-770-1119-1119,difficult,yes
27525-53699-651804-2813570-80865-106576-20177-3746,52225-16141-183097-411864-13683-36553-10952-8756,4604-1408-55994-116640-9056-9859-5237-777,3421-230-47407-16233-6189-33473-2003-4570,3191-1140-59946-7974-2211-5662-3241-2773,5411-974-20793-20899-2169-10724-4912-11891,5297-493-17906-10309-1612-7543-6614-4108,4788-334-17838-7633-1002-4787-2996-3942,easy,no
75823-43649-192587-61790-48102-832698-186594-70020,23415-22172-30775-16514-5780-73866-18152-43531,1734-690-1125-5856-3575-81976-15792-20777,1254-1933-23625-675-3028-143154-2069-18747,1171-754-29042-665-1494-100650-4656-3944,865-628-8651-456-1005-29531-6478-8398,415-308-12630-245-696-58323-5274-11307,144-297-23075-620-1024-19250-3261-1794,easy,yes
55938-138018-576641-708350-80086-36850-71849-33647,2084-18804-572381-112637-30335-9629-12077-5375,2335-602-90678-20840-2592-1003-3840-10349,364-4420-67202-28204-1467-1180-9829-1395,1551-1342-110911-41181-2050-882-773-4796,828-2832-58591-29032-1396-601-1353-2252,858-1042-12898-27964-1536-782-1740-1556,235-1599-19922-16943-548-300-1283-1859,easy,yes
1189923-2374565-1807051-331392-86778-22751-81094-10715,51267-111028-237447-93138-21213-20192-68820-9344,46526-41510-9564-13331-28573-3312-19261-1859,9488-18868-117208-64225-8557-12526-24560-26804,12550-62328-57390-121808-30864-9987-18917-11309,11600-143711-72220-17555-20997-4731-8413-16832,24733-214878-23524-12104-23634-4727-5397-6851,16351-61675-18420-7535-8972-4474-6917-4801,difficult,no
19520-96380-9552-269174-458278-47261-62638-50394,24626-23904-10792-12587-180616-26871-12013-19534,12467-7357-4616-248-12228-9496-3497-17080,15709-14384-33279-3470-12865-3593-5087-20668,7615-5797-5324-2876-6624-3439-1788-10078,5065-14763-12659-1216-6008-1479-1497-6341,12369-18728-6685-2380-8541-1432-1793-6682,2054-4499-2913-1313-3486-1625-2232-7375,difficult,yes
312452-336068-250680-10045-87566-86371-42650-9500,25648-56977-6580-23530-27535-42623-26696-20455,1870-15026-347-4084-4385-11774-8200-33607,2832-3766-4274-1212-4922-8520-12176-19617,2345-2702-2935-981-2330-7717-5169-16841,1060-3308-2171-1666-1953-8136-6507-4293,1361-2284-1192-10490-1407-3822-11766-10154,1307-744-1228-1038-1291-9285-4915-4625,easy,yes
515067-152668-35238-15425-44882-34090-63062-3913,293047-48412-10017-10340-27986-8841-22846-2331,7581-1596-5072-6193-11081-4763-3412-8465,30616-2203-5008-8213-2572-3478-1719-3114,23565-2008-2017-5596-1870-641-678-2046,27859-1339-5145-6060-1792-3387-1881-8058,31617-2054-3798-5721-1111-826-2049-15512,15487-3102-4556-8197-1083-1228-2039-4768,difficult,yes
1172250-757707-7943-201299-40271-115173-74669-121539,216424-56792-17944-8358-20056-41871-61204-60401,85387-11221-1926-2040-14485-7234-6617-3856,24009-2863-3603-6224-1554-13754-2161-3844,47996-10033-2075-1659-1525-11002-1901-1350,15440-7945-4877-1415-4321-14539-2532-4044,14639-3970-3337-4877-3995-17075-3664-2243,28854-2168-3260-1407-3412-2598-1442-1326,easy,yes
144952-122903-22268-148869-212675-546889-629339-7170,49013-4564-28828-6820-87874-43937-176701-10924,3067-7627-9544-3459-13058-9118-3966-6491,33255-9990-14484-6246-8651-15176-11828-5047,3317-10477-7677-3137-8209-7103-11018-8306,8755-5714-3231-4215-5875-8551-17441-29079,7140-3982-2996-2319-3787-11751-15636-13826,2608-4851-3616-6344-1854-7109-3598-6560,easy,yes
141747-40959-11661-68600-409568-258659-118046-1664,52495-18041-13516-39321-33689-129417-25591-9526,908-1704-6270-6394-6264-14237-4595-9787,2782-3384-13141-3206-4011-2479-694-4673,960-1127-5050-1511-1892-5738-3247-1651,2654-3022-1491-3195-4453-5471-5095-14161,2350-2487-1764-1140-3171-2410-1397-10208,1446-961-1334-433-1967-738-1710-8324,difficult,no
