delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
2081-3300-5839-10950-3365-11944-6651-3597,4955-16098-2934-7452-12420-36143-20101-5740,19237-10798-1360-20709-7427-21943-11764-14264,22311-15094-10236-6020-13580-78467-68141-93176,3313-4337-4264-3634-17010-17715-6232-14863,8025-10594-5350-9068-4953-12097-7285-7792,1784-2890-3214-2030-1657-2832-1076-3347,1228-1981-1334-1070-2381-3032-1525-1659,140195-236488-1235359-673492-63648-20222-178040-188582,65886-74154-87810-225903-3807-39737-33138-40041,14743-91497-4495-8204-988-21533-30586-18942,5589-34156-16666-2153-1568-12263-4786-30267,3261-5808-13233-7018-1292-17994-6793-4789,4797-34826-13216-10260-2256-5904-6976-14467,7518-33791-11279-8480-1638-15678-3683-1450,5260-19128-13515-1714-2747-6037-3377-3872,difficult,yes
15861-78896-1647771-584499-20660-186069-8412-142749,8419-6131-28627-310675-3409-24762-6098-4686,2590-4192-35619-12092-1295-4239-2233-645,14615-2071-32207-151495-44235-4312-3555-1009,4044-3521-34090-41608-24715-1706-3468-2539,9247-1928-6728-41164-14524-2969-1578-417,7619-2218-5976-35481-12882-1279-1010-258,4274-632-2312-13295-4999-1013-821-302,difficult,yes
252226-8048-36703-3372-84843-43747-19808-667898,73596-9898-4809-5882-60864-11987-15473-179768,5490-2562-529-1327-12501-2914-7310-29311,3216-38673-13528-21811-67125-1391-2202-4961,4043-4746-2012-7933-1212-251-2597-3758,1151-8111-4039-7299-12032-467-2143-9741,929-2860-2856-2921-2981-178-871-1854,534-1602-1336-1045-3344-77-811-1513,easy,no
161131-1249-2963-12150-15984-149842-1107422-226219,115871-6246-9797-13957-5984-40233-243776-50546,8045-10950-15661-5191-3492-8534-39958-1697,4243-21081-107278-59908-36767-10096-23440-1349,2793-6811-5240-4454-3640-1657-6760-967,4653-2454-8106-4091-11904-2905-5159-1074,5927-4778-2229-1482-1114-486-6383-1105,2070-4430-2444-2637-1703-351-4014-351,difficult,no
90288-15685-5493-2815-12387-6469-175807-179865,12881-3698-6592-11164-14983-9872-31806-50028,1278-4930-6436-3185-4052-4269-9200-5457,760-22441-56660-40945-23374-23983-8723-5569,756-26201-4640-3578-5450-7570-2701-3096,327-4003-10376-4962-3785-9025-2219-2785,242-5726-2586-945-2011-2437-877-750,317-7125-2611-1806-1808-2097-572-1334,difficult,no
2110046-41258-20681-13905-4104-111414-152605-109587,279231-12659-16520-4864-10220-44522-6693-31230,27703-9938-6962-3543-8135-12771-2958-2840,10110-25079-24291-7924-15621-8050-3716-241,18841-2974-2556-5522-8735-7381-1797-591,14155-11105-6548-15967-14759-16707-1767-2051,13110-2744-3049-3841-2833-3007-1105-888,2165-1867-1614-2550-2929-4939-611-530,easy,yes
16124-13956-4359-14556-4496-4300-9899-28181,6898-3580-1784-2540-11316-4560-11162-3761,45654-44178-2786-16746-10096-3075-1616-32921,60714-69296-20046-114013-37159-16799-53015-57174,9510-2674-4469-23409-11469-11114-2995-2650,9709-14019-9642-11329-6440-14343-9178-19918,2223-4990-12059-6438-2981-8883-4378-6034,2134-2811-1916-4214-1833-4267-1246-3748,difficult,yes
26506-163557-7326-8104-4443-27160-262511-30602,13369-27538-5575-7543-12205-21033-138061-17045,3806-2545-9136-7737-3685-2569-57055-2063,1120-13836-34107-44495-32758-16905-14861-4976,2462-5456-12802-7261-4552-10916-13791-2660,1609-11974-6334-14492-10461-4403-14589-3811,1871-3787-3051-5961-5536-7988-3366-1519,716-3697-1977-1698-3628-2253-2999-510,easy,yes
