delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
819184-2542167-467413-248126-2758627-1807526-503757-47380,50569-176765-52797-98323-122460-205956-480626-32633,8369-72654-7987-121976-100646-52257-35571-4290,13342-22311-18193-46087-42068-28490-36036-1270,12123-17628-33017-19456-31306-44894-19408-1997,5264-38805-95670-36515-32463-39670-21960-10293,11615-59771-35072-27634-81017-27326-62867-4567,6673-43489-31295-13200-23351-15782-20156-3010,easy
2542167-467413-248126-2758627-1807526-503757-47380-48601,176765-52797-98323-122460-205956-480626-32633-52968,72654-7987-121976-100646-52257-35571-4290-2003,22311-18193-46087-42068-28490-36036-1270-3046,17628-33017-19456-31306-44894-19408-1997-2271,38805-95670-36515-32463-39670-21960-10293-2976,59771-35072-27634-81017-27326-62867-4567-11412,43489-31295-13200-23351-15782-20156-3010-3235,easy
467413-248126-2758627-1807526-503757-47380-48601-99673,52797-98323-122460-205956-480626-32633-52968-21326,7987-121976-100646-52257-35571-4290-2003-3946,18193-46087-42068-28490-36036-1270-3046-4701,33017-19456-31306-44894-19408-1997-2271-7843,95670-36515-32463-39670-21960-10293-2976-11142,35072-27634-81017-27326-62867-4567-11412-5885,31295-13200-23351-15782-20156-3010-3235-12452,easy
248126-2758627-1807526-503757-47380-48601-99673-278772,98323-122460-205956-480626-32633-52968-21326-70910,121976-100646-52257-35571-4290-2003-3946-11779,46087-42068-28490-36036-1270-3046-4701-4611,19456-31306-44894-19408-1997-2271-7843-5369,36515-32463-39670-21960-10293-2976-11142-6954,27634-81017-27326-62867-4567-11412-5885-7453,13200-23351-15782-20156-3010-3235-12452-3423,easy
2758627-1807526-503757-47380-48601-99673-278772-1099235,122460-205956-480626-32633-52968-21326-70910-102503,100646-52257-35571-4290-2003-3946-11779-52443,42068-28490-36036-1270-3046-4701-4611-25753,31306-44894-19408-1997-2271-7843-5369-16130,32463-39670-21960-10293-2976-11142-6954-58331,81017-27326-62867-4567-11412-5885-7453-16008,23351-15782-20156-3010-3235-12452-3423-23149,easy
1807526-503757-47380-48601-99673-278772-1099235-1361193,205956-480626-32633-52968-21326-70910-102503-65317,52257-35571-4290-2003-3946-11779-52443-20809,28490-36036-1270-3046-4701-4611-25753-17337,44894-19408-1997-2271-7843-5369-16130-16820,39670-21960-10293-2976-11142-6954-58331-8271,27326-62867-4567-11412-5885-7453-16008-12709,15782-20156-3010-3235-12452-3423-23149-6681,easy
503757-47380-48601-99673-278772-1099235-1361193-1204252,480626-32633-52968-21326-70910-102503-65317-405931,35571-4290-2003-3946-11779-52443-20809-64136,36036-1270-3046-4701-4611-25753-17337-25228,19408-1997-2271-7843-5369-16130-16820-49632,21960-10293-2976-11142-6954-58331-8271-89171,62867-4567-11412-5885-7453-16008-12709-133956,20156-3010-3235-12452-3423-23149-6681-50031,easy
47380-48601-99673-278772-1099235-1361193-1204252-585305,32633-52968-21326-70910-102503-65317-405931-155038,4290-2003-3946-11779-52443-20809-64136-11503,1270-3046-4701-4611-25753-17337-25228-32371,1997-2271-7843-5369-16130-16820-49632-18148,10293-2976-11142-6954-58331-8271-89171-15270,4567-11412-5885-7453-16008-12709-133956-11742,3010-3235-12452-3423-23149-6681-50031-9013,easy
48601-99673-278772-1099235-1361193-1204252-585305-529994,52968-21326-70910-102503-65317-405931-155038-203532,2003-3946-11779-52443-20809-64136-11503-12779,3046-4701-4611-25753-17337-25228-32371-15918,2271-7843-5369-16130-16820-49632-18148-7229,2976-11142-6954-58331-8271-89171-15270-9609,11412-5885-7453-16008-12709-133956-11742-9700,3235-12452-3423-23149-6681-50031-9013-7479,easy
99673-278772-1099235-1361193-1204252-585305-529994-122913,21326-70910-102503-65317-405931-155038-203532-47349,3946-11779-52443-20809-64136-11503-12779-2932,4701-4611-25753-17337-25228-32371-15918-6393,7843-5369-16130-16820-49632-18148-7229-8335,11142-6954-58331-8271-89171-15270-9609-6558,5885-7453-16008-12709-133956-11742-9700-2584,12452-3423-23149-6681-50031-9013-7479-5131,hard
278772-1099235-1361193-1204252-585305-529994-122913-473859,70910-102503-65317-405931-155038-203532-47349-52616,11779-52443-20809-64136-11503-12779-2932-46385,4611-25753-17337-25228-32371-15918-6393-5983,5369-16130-16820-49632-18148-7229-8335-10479,6954-58331-8271-89171-15270-9609-6558-11648,7453-16008-12709-133956-11742-9700-2584-9507,3423-23149-6681-50031-9013-7479-5131-3223,hard
1099235-1361193-1204252-585305-529994-122913-473859-1134605,102503-65317-405931-155038-203532-47349-52616-191422,52443-20809-64136-11503-12779-2932-46385-5727,25753-17337-25228-32371-15918-6393-5983-6856,16130-16820-49632-18148-7229-8335-10479-14685,58331-8271-89171-15270-9609-6558-11648-44416,16008-12709-133956-11742-9700-2584-9507-7031,23149-6681-50031-9013-7479-5131-3223-20096,easy
1361193-1204252-585305-529994-122913-473859-1134605-269709,65317-405931-155038-203532-47349-52616-191422-63894,20809-64136-11503-12779-2932-46385-5727-39951,17337-25228-32371-15918-6393-5983-6856-14617,16820-49632-18148-7229-8335-10479-14685-10342,8271-89171-15270-9609-6558-11648-44416-19068,12709-133956-11742-9700-2584-9507-7031-16262,6681-50031-9013-7479-5131-3223-20096-8169,hard
1204252-585305-529994-122913-473859-1134605-269709-677701,405931-155038-203532-47349-52616-191422-63894-179178,64136-11503-12779-2932-46385-5727-39951-29787,25228-32371-15918-6393-5983-6856-14617-51682,49632-18148-7229-8335-10479-14685-10342-22396,89171-15270-9609-6558-11648-44416-19068-30752,133956-11742-9700-2584-9507-7031-16262-21091,50031-9013-7479-5131-3223-20096-8169-8415,easy
