delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
161778-189453-500886-513079-231938-1359251-1743235-2965145,6133-63287-220900-84877-45013-200731-180922-221488,7052-10824-18687-36854-6465-27365-16383-48973,2550-20896-33123-30248-1548-29178-14123-29271,3224-2383-8842-16033-2134-49713-9962-4807,3552-9608-4968-10292-5695-63418-17463-23809,1265-7169-2648-2382-1021-23429-15869-8078,1178-3400-7285-1456-1261-6269-3535-8966,easy,yes
1248626-1311825-332872-1975138-91703-20892-20892-264464,85349-106109-65613-256534-16153-33786-33786-29802,72405-66366-22299-11537-2780-14131-14131-25907,21282-126322-46688-40108-1353-3303-3303-7822,14782-44870-8093-7818-1848-16144-16144-5279,38929-40991-8699-68496-3826-47196-47196-9392,59308-62967-18584-45042-4249-64432-64432-6076,29997-36786-6757-27873-1231-26678-26678-2250,difficult,no
327829-106825-807915-874099-3749367-3749367-709385-318607,28497-71565-28400-21598-448639-448639-691862-68551,25713-5462-31270-11896-81395-81395-41696-19716,5875-2615-11191-8921-21642-21642-24960-28063,6996-1005-21949-17349-61088-61088-9688-15544,13015-1347-6305-14202-26962-26962-9814-16964,23364-1655-7410-1429-11471-11471-12065-13767,3862-1473-5952-2531-5108-5108-2158-7233,easy,no
350519-956384-729200-729200-134407-75745-386309-664893,344850-826899-73686-73686-96653-20813-23715-94512,21514-58346-14488-14488-12442-15772-7294-27559,25263-130103-5930-5930-4532-1223-3689-11704,20679-56224-10462-10462-2888-3096-3202-12914,14490-41894-16608-16608-2036-877-2592-10345,16925-24244-16328-16328-4751-3329-2691-13791,7210-22433-5614-5614-1854-2482-654-4449,difficult,no
99936-77540-2156536-320842-869834-1056194-2054910-2054910,113894-10412-242733-6893-72932-50752-120566-120566,25056-1725-59865-4897-26310-19973-86279-86279,4029-4412-112323-3312-7979-13911-12332-12332,25736-1864-32015-6619-17048-7136-12823-12823,31540-2632-17077-720-12019-9073-19601-19601,21529-8855-14988-2174-31701-14675-18875-18875,5972-2035-6301-1300-3419-10173-3045-3045,easy,no
495391-495391-785953-226524-187537-133921-250619-250619,68209-68209-141860-204962-20851-18165-6821-6821,7087-7087-11153-33460-21738-10869-2530-2530,20468-20468-9070-13757-9645-3172-5457-5457,11813-11813-22866-40217-11870-1505-4456-4456,22749-22749-30461-29797-14849-7878-5381-5381,42317-42317-76575-26917-117296-8059-6541-6541,8245-8245-17342-18704-12690-3786-3308-3308,difficult,no
250280-115494-89367-217790-1479918-723009-86091-97639,26320-28933-17175-22371-95164-175336-37335-22543,61925-17304-3429-7133-20024-30749-11245-2492,26010-8214-2382-3822-31035-5299-2458-1074,19296-15905-6243-2330-42818-20295-5704-1843,23564-3159-3652-2560-57762-16180-4088-2105,9516-4496-4906-3226-18750-13675-4339-9058,4206-2558-1249-3173-8975-4720-987-1749,easy,yes
794303-1401565-1203979-1203979-192047-672693-1975957-911836,642666-486317-182855-182855-14324-62477-173348-77530,11928-56015-17663-17663-8593-16691-35082-6038,36739-15456-10396-10396-2238-2886-53515-18101,30483-17102-4974-4974-840-4011-16937-9404,42194-27673-6077-6077-1766-6171-43201-5320,45969-32455-8177-8177-6906-20550-28970-11923,29374-19962-7076-7076-1477-3607-12782-3126,difficult,no
953915-384332-837707-52445-226231-183913-91345-144072,129645-48990-118876-45763-239262-35144-12183-18838,5201-11281-8476-4224-125628-1087-3616-10232,15415-8800-10127-835-31739-8404-2512-5763,16195-1021-20958-6419-43492-6898-1123-3933,28253-11587-9493-7019-24558-13200-6357-1986,17232-6949-48369-6896-35241-20745-10166-4713,5827-16311-11095-2314-7775-6239-1645-1580,easy,no
1098480-395273-395273-902371-564703-477384-927388-210021,568441-520749-520749-206304-41895-47994-148603-49870,51079-19222-19222-30301-19445-7327-27226-45248,51007-16952-16952-15192-27553-13219-13901-11269,36335-10205-10205-10366-13374-15059-24014-8145,34214-47541-47541-6108-42513-50694-48313-8410,14308-19512-19512-4524-16583-11278-31328-11282,28893-14510-14510-5588-8057-18420-24906-11846,difficult,no
