delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
22642-8720-59265-9575-30041-133686-7290-9895,8417-3405-8482-3953-6156-56336-6214-18088,3278-13315-3040-2276-10380-29788-3391-28570,8190-17927-12650-2560-8611-9405-6810-5437,11035-12990-25279-2199-14006-8986-2286-12276,10819-4903-9193-2786-13431-8512-2164-6316,7080-3846-6025-2590-9791-9100-1451-2040,2400-5847-3996-647-3809-4011-411-4870,easy
8720-59265-9575-30041-133686-7290-9895-39832,3405-8482-3953-6156-56336-6214-18088-14396,13315-3040-2276-10380-29788-3391-28570-44382,17927-12650-2560-8611-9405-6810-5437-14328,12990-25279-2199-14006-8986-2286-12276-14836,4903-9193-2786-13431-8512-2164-6316-14673,3846-6025-2590-9791-9100-1451-2040-1931,5847-3996-647-3809-4011-411-4870-8117,easy
59265-9575-30041-133686-7290-9895-39832-106032,8482-3953-6156-56336-6214-18088-14396-17712,3040-2276-10380-29788-3391-28570-44382-44016,12650-2560-8611-9405-6810-5437-14328-23909,25279-2199-14006-8986-2286-12276-14836-7728,9193-2786-13431-8512-2164-6316-14673-8737,6025-2590-9791-9100-1451-2040-1931-6683,3996-647-3809-4011-411-4870-8117-3065,easy
9575-30041-133686-7290-9895-39832-106032-12846,3953-6156-56336-6214-18088-14396-17712-39653,2276-10380-29788-3391-28570-44382-44016-5530,2560-8611-9405-6810-5437-14328-23909-14252,2199-14006-8986-2286-12276-14836-7728-5044,2786-13431-8512-2164-6316-14673-8737-3706,2590-9791-9100-1451-2040-1931-6683-5101,647-3809-4011-411-4870-8117-3065-3985,easy
30041-133686-7290-9895-39832-106032-12846-7436,6156-56336-6214-18088-14396-17712-39653-10748,10380-29788-3391-28570-44382-44016-5530-16993,8611-9405-6810-5437-14328-23909-14252-7914,14006-8986-2286-12276-14836-7728-5044-3018,13431-8512-2164-6316-14673-8737-3706-9605,9791-9100-1451-2040-1931-6683-5101-10631,3809-4011-411-4870-8117-3065-3985-2381,easy
133686-7290-9895-39832-106032-12846-7436-19745,56336-6214-18088-14396-17712-39653-10748-19420,29788-3391-28570-44382-44016-5530-16993-24290,9405-6810-5437-14328-23909-14252-7914-3674,8986-2286-12276-14836-7728-5044-3018-8927,8512-2164-6316-14673-8737-3706-9605-10783,9100-1451-2040-1931-6683-5101-10631-7892,4011-411-4870-8117-3065-3985-2381-4007,easy
7290-9895-39832-106032-12846-7436-19745-41997,6214-18088-14396-17712-39653-10748-19420-137560,3391-28570-44382-44016-5530-16993-24290-33559,6810-5437-14328-23909-14252-7914-3674-14258,2286-12276-14836-7728-5044-3018-8927-15698,2164-6316-14673-8737-3706-9605-10783-9369,1451-2040-1931-6683-5101-10631-7892-4460,411-4870-8117-3065-3985-2381-4007-4247,easy
9895-39832-106032-12846-7436-19745-41997-10317,18088-14396-17712-39653-10748-19420-137560-10252,28570-44382-44016-5530-16993-24290-33559-11016,5437-14328-23909-14252-7914-3674-14258-3423,12276-14836-7728-5044-3018-8927-15698-4248,6316-14673-8737-3706-9605-10783-9369-2606,2040-1931-6683-5101-10631-7892-4460-1653,4870-8117-3065-3985-2381-4007-4247-737,easy
39832-106032-12846-7436-19745-41997-10317-8160,14396-17712-39653-10748-19420-137560-10252-12256,44382-44016-5530-16993-24290-33559-11016-8706,14328-23909-14252-7914-3674-14258-3423-5766,14836-7728-5044-3018-8927-15698-4248-7145,14673-8737-3706-9605-10783-9369-2606-8972,1931-6683-5101-10631-7892-4460-1653-4181,8117-3065-3985-2381-4007-4247-737-3931,easy
106032-12846-7436-19745-41997-10317-8160-14617,17712-39653-10748-19420-137560-10252-12256-29533,44016-5530-16993-24290-33559-11016-8706-2859,23909-14252-7914-3674-14258-3423-5766-13634,7728-5044-3018-8927-15698-4248-7145-7403,8737-3706-9605-10783-9369-2606-8972-10932,6683-5101-10631-7892-4460-1653-4181-9876,3065-3985-2381-4007-4247-737-3931-5450,easy
12846-7436-19745-41997-10317-8160-14617-20621,39653-10748-19420-137560-10252-12256-29533-46727,5530-16993-24290-33559-11016-8706-2859-1332,14252-7914-3674-14258-3423-5766-13634-17781,5044-3018-8927-15698-4248-7145-7403-7512,3706-9605-10783-9369-2606-8972-10932-14250,5101-10631-7892-4460-1653-4181-9876-6898,3985-2381-4007-4247-737-3931-5450-3896,easy
7436-19745-41997-10317-8160-14617-20621-7651,10748-19420-137560-10252-12256-29533-46727-9832,16993-24290-33559-11016-8706-2859-1332-13306,7914-3674-14258-3423-5766-13634-17781-18017,3018-8927-15698-4248-7145-7403-7512-3487,9605-10783-9369-2606-8972-10932-14250-5805,10631-7892-4460-1653-4181-9876-6898-1440,2381-4007-4247-737-3931-5450-3896-1732,easy
19745-41997-10317-8160-14617-20621-7651-2178,19420-137560-10252-12256-29533-46727-9832-10894,24290-33559-11016-8706-2859-1332-13306-2392,3674-14258-3423-5766-13634-17781-18017-8681,8927-15698-4248-7145-7403-7512-3487-7320,10783-9369-2606-8972-10932-14250-5805-9365,7892-4460-1653-4181-9876-6898-1440-14686,4007-4247-737-3931-5450-3896-1732-3672,easy
41997-10317-8160-14617-20621-7651-2178-4725,137560-10252-12256-29533-46727-9832-10894-7862,33559-11016-8706-2859-1332-13306-2392-8339,14258-3423-5766-13634-17781-18017-8681-5689,15698-4248-7145-7403-7512-3487-7320-7392,9369-2606-8972-10932-14250-5805-9365-15215,4460-1653-4181-9876-6898-1440-14686-4548,4247-737-3931-5450-3896-1732-3672-4182,easy
10317-8160-14617-20621-7651-2178-4725-49996,10252-12256-29533-46727-9832-10894-7862-6044,11016-8706-2859-1332-13306-2392-8339-5705,3423-5766-13634-17781-18017-8681-5689-8579,4248-7145-7403-7512-3487-7320-7392-10164,2606-8972-10932-14250-5805-9365-15215-4799,1653-4181-9876-6898-1440-14686-4548-4932,737-3931-5450-3896-1732-3672-4182-4477,easy
8160-14617-20621-7651-2178-4725-49996-21727,12256-29533-46727-9832-10894-7862-6044-20156,8706-2859-1332-13306-2392-8339-5705-8470,5766-13634-17781-18017-8681-5689-8579-22534,7145-7403-7512-3487-7320-7392-10164-20433,8972-10932-14250-5805-9365-15215-4799-36867,4181-9876-6898-1440-14686-4548-4932-12926,3931-5450-3896-1732-3672-4182-4477-12008,easy
14617-20621-7651-2178-4725-49996-21727-4012,29533-46727-9832-10894-7862-6044-20156-9217,2859-1332-13306-2392-8339-5705-8470-20084,13634-17781-18017-8681-5689-8579-22534-27989,7403-7512-3487-7320-7392-10164-20433-20894,10932-14250-5805-9365-15215-4799-36867-37059,9876-6898-1440-14686-4548-4932-12926-17278,5450-3896-1732-3672-4182-4477-12008-9764,easy
20621-7651-2178-4725-49996-21727-4012-536950,46727-9832-10894-7862-6044-20156-9217-114200,1332-13306-2392-8339-5705-8470-20084-9332,17781-18017-8681-5689-8579-22534-27989-11883,7512-3487-7320-7392-10164-20433-20894-5190,14250-5805-9365-15215-4799-36867-37059-7441,6898-1440-14686-4548-4932-12926-17278-3956,3896-1732-3672-4182-4477-12008-9764-4221,easy
7651-2178-4725-49996-21727-4012-536950-12829,9832-10894-7862-6044-20156-9217-114200-28531,13306-2392-8339-5705-8470-20084-9332-8628,18017-8681-5689-8579-22534-27989-11883-27798,3487-7320-7392-10164-20433-20894-5190-6622,5805-9365-15215-4799-36867-37059-7441-10685,1440-14686-4548-4932-12926-17278-3956-6209,1732-3672-4182-4477-12008-9764-4221-2186,easy
2178-4725-49996-21727-4012-536950-12829-21666,10894-7862-6044-20156-9217-114200-28531-9893,2392-8339-5705-8470-20084-9332-8628-4091,8681-5689-8579-22534-27989-11883-27798-24387,7320-7392-10164-20433-20894-5190-6622-13479,9365-15215-4799-36867-37059-7441-10685-15690,14686-4548-4932-12926-17278-3956-6209-14626,3672-4182-4477-12008-9764-4221-2186-3408,easy
4725-49996-21727-4012-536950-12829-21666-13896,7862-6044-20156-9217-114200-28531-9893-61502,8339-5705-8470-20084-9332-8628-4091-25967,5689-8579-22534-27989-11883-27798-24387-5362,7392-10164-20433-20894-5190-6622-13479-8422,15215-4799-36867-37059-7441-10685-15690-12132,4548-4932-12926-17278-3956-6209-14626-2908,4182-4477-12008-9764-4221-2186-3408-1959,easy
49996-21727-4012-536950-12829-21666-13896-17159,6044-20156-9217-114200-28531-9893-61502-12523,5705-8470-20084-9332-8628-4091-25967-8034,8579-22534-27989-11883-27798-24387-5362-2092,10164-20433-20894-5190-6622-13479-8422-2219,4799-36867-37059-7441-10685-15690-12132-1339,4932-12926-17278-3956-6209-14626-2908-840,4477-12008-9764-4221-2186-3408-1959-523,easy
21727-4012-536950-12829-21666-13896-17159-13814,20156-9217-114200-28531-9893-61502-12523-21768,8470-20084-9332-8628-4091-25967-8034-11203,22534-27989-11883-27798-24387-5362-2092-2779,20433-20894-5190-6622-13479-8422-2219-2329,36867-37059-7441-10685-15690-12132-1339-4287,12926-17278-3956-6209-14626-2908-840-3892,12008-9764-4221-2186-3408-1959-523-2160,hard
4012-536950-12829-21666-13896-17159-13814-25566,9217-114200-28531-9893-61502-12523-21768-4972,20084-9332-8628-4091-25967-8034-11203-5297,27989-11883-27798-24387-5362-2092-2779-4258,20894-5190-6622-13479-8422-2219-2329-5374,37059-7441-10685-15690-12132-1339-4287-7952,17278-3956-6209-14626-2908-840-3892-635,9764-4221-2186-3408-1959-523-2160-3722,easy
536950-12829-21666-13896-17159-13814-25566-19568,114200-28531-9893-61502-12523-21768-4972-11468,9332-8628-4091-25967-8034-11203-5297-2323,11883-27798-24387-5362-2092-2779-4258-2845,5190-6622-13479-8422-2219-2329-5374-5563,7441-10685-15690-12132-1339-4287-7952-4552,3956-6209-14626-2908-840-3892-635-4020,4221-2186-3408-1959-523-2160-3722-3112,easy
12829-21666-13896-17159-13814-25566-19568-1122,28531-9893-61502-12523-21768-4972-11468-6547,8628-4091-25967-8034-11203-5297-2323-184,27798-24387-5362-2092-2779-4258-2845-765,6622-13479-8422-2219-2329-5374-5563-154,10685-15690-12132-1339-4287-7952-4552-972,6209-14626-2908-840-3892-635-4020-672,2186-3408-1959-523-2160-3722-3112-508,easy
21666-13896-17159-13814-25566-19568-1122-2636,9893-61502-12523-21768-4972-11468-6547-13033,4091-25967-8034-11203-5297-2323-184-3785,24387-5362-2092-2779-4258-2845-765-10904,13479-8422-2219-2329-5374-5563-154-3626,15690-12132-1339-4287-7952-4552-972-5162,14626-2908-840-3892-635-4020-672-1522,3408-1959-523-2160-3722-3112-508-893,easy
13896-17159-13814-25566-19568-1122-2636-8730,61502-12523-21768-4972-11468-6547-13033-2680,25967-8034-11203-5297-2323-184-3785-6218,5362-2092-2779-4258-2845-765-10904-6085,8422-2219-2329-5374-5563-154-3626-3121,12132-1339-4287-7952-4552-972-5162-7384,2908-840-3892-635-4020-672-1522-5154,1959-523-2160-3722-3112-508-893-1878,easy
17159-13814-25566-19568-1122-2636-8730-2057,12523-21768-4972-11468-6547-13033-2680-1976,8034-11203-5297-2323-184-3785-6218-710,2092-2779-4258-2845-765-10904-6085-1378,2219-2329-5374-5563-154-3626-3121-1318,1339-4287-7952-4552-972-5162-7384-924,840-3892-635-4020-672-1522-5154-802,523-2160-3722-3112-508-893-1878-554,easy
13814-25566-19568-1122-2636-8730-2057-19392,21768-4972-11468-6547-13033-2680-1976-19075,11203-5297-2323-184-3785-6218-710-8964,2779-4258-2845-765-10904-6085-1378-4087,2329-5374-5563-154-3626-3121-1318-1381,4287-7952-4552-972-5162-7384-924-4239,3892-635-4020-672-1522-5154-802-1290,2160-3722-3112-508-893-1878-554-2404,easy
25566-19568-1122-2636-8730-2057-19392-18709,4972-11468-6547-13033-2680-1976-19075-10688,5297-2323-184-3785-6218-710-8964-11158,4258-2845-765-10904-6085-1378-4087-5872,5374-5563-154-3626-3121-1318-1381-2531,7952-4552-972-5162-7384-924-4239-2666,635-4020-672-1522-5154-802-1290-1491,3722-3112-508-893-1878-554-2404-1421,easy
19568-1122-2636-8730-2057-19392-18709-4946,11468-6547-13033-2680-1976-19075-10688-7680,2323-184-3785-6218-710-8964-11158-12783,2845-765-10904-6085-1378-4087-5872-9491,5563-154-3626-3121-1318-1381-2531-2104,4552-972-5162-7384-924-4239-2666-4660,4020-672-1522-5154-802-1290-1491-3035,3112-508-893-1878-554-2404-1421-1815,easy
1122-2636-8730-2057-19392-18709-4946-18727,6547-13033-2680-1976-19075-10688-7680-23509,184-3785-6218-710-8964-11158-12783-2310,765-10904-6085-1378-4087-5872-9491-9803,154-3626-3121-1318-1381-2531-2104-3040,972-5162-7384-924-4239-2666-4660-5836,672-1522-5154-802-1290-1491-3035-4795,508-893-1878-554-2404-1421-1815-1980,easy
2636-8730-2057-19392-18709-4946-18727-10841,13033-2680-1976-19075-10688-7680-23509-10514,3785-6218-710-8964-11158-12783-2310-689,10904-6085-1378-4087-5872-9491-9803-7279,3626-3121-1318-1381-2531-2104-3040-2718,5162-7384-924-4239-2666-4660-5836-3471,1522-5154-802-1290-1491-3035-4795-2317,893-1878-554-2404-1421-1815-1980-1902,easy
8730-2057-19392-18709-4946-18727-10841-4999,2680-1976-19075-10688-7680-23509-10514-9824,6218-710-8964-11158-12783-2310-689-2578,6085-1378-4087-5872-9491-9803-7279-3009,3121-1318-1381-2531-2104-3040-2718-986,7384-924-4239-2666-4660-5836-3471-5926,5154-802-1290-1491-3035-4795-2317-2836,1878-554-2404-1421-1815-1980-1902-1877,hard
2057-19392-18709-4946-18727-10841-4999-24621,1976-19075-10688-7680-23509-10514-9824-11463,710-8964-11158-12783-2310-689-2578-1893,1378-4087-5872-9491-9803-7279-3009-1173,1318-1381-2531-2104-3040-2718-986-4439,924-4239-2666-4660-5836-3471-5926-4131,802-1290-1491-3035-4795-2317-2836-1482,554-2404-1421-1815-1980-1902-1877-1816,easy
19392-18709-4946-18727-10841-4999-24621-33199,19075-10688-7680-23509-10514-9824-11463-15361,8964-11158-12783-2310-689-2578-1893-2952,4087-5872-9491-9803-7279-3009-1173-11671,1381-2531-2104-3040-2718-986-4439-3326,4239-2666-4660-5836-3471-5926-4131-2711,1290-1491-3035-4795-2317-2836-1482-2318,2404-1421-1815-1980-1902-1877-1816-4963,easy
18709-4946-18727-10841-4999-24621-33199-6166,10688-7680-23509-10514-9824-11463-15361-10636,11158-12783-2310-689-2578-1893-2952-3582,5872-9491-9803-7279-3009-1173-11671-11004,2531-2104-3040-2718-986-4439-3326-5489,2666-4660-5836-3471-5926-4131-2711-4956,1491-3035-4795-2317-2836-1482-2318-1272,1421-1815-1980-1902-1877-1816-4963-3629,easy
4946-18727-10841-4999-24621-33199-6166-13860,7680-23509-10514-9824-11463-15361-10636-11084,12783-2310-689-2578-1893-2952-3582-12966,9491-9803-7279-3009-1173-11671-11004-14361,2104-3040-2718-986-4439-3326-5489-2740,4660-5836-3471-5926-4131-2711-4956-2054,3035-4795-2317-2836-1482-2318-1272-2020,1815-1980-1902-1877-1816-4963-3629-1221,easy
18727-10841-4999-24621-33199-6166-13860-17908,23509-10514-9824-11463-15361-10636-11084-25321,2310-689-2578-1893-2952-3582-12966-31106,9803-7279-3009-1173-11671-11004-14361-11439,3040-2718-986-4439-3326-5489-2740-2555,5836-3471-5926-4131-2711-4956-2054-5109,4795-2317-2836-1482-2318-1272-2020-2251,1980-1902-1877-1816-4963-3629-1221-2187,easy
10841-4999-24621-33199-6166-13860-17908-7926,10514-9824-11463-15361-10636-11084-25321-9302,689-2578-1893-2952-3582-12966-31106-1259,7279-3009-1173-11671-11004-14361-11439-5182,2718-986-4439-3326-5489-2740-2555-1830,3471-5926-4131-2711-4956-2054-5109-1542,2317-2836-1482-2318-1272-2020-2251-792,1902-1877-1816-4963-3629-1221-2187-628,easy
4999-24621-33199-6166-13860-17908-7926-11197,9824-11463-15361-10636-11084-25321-9302-17000,2578-1893-2952-3582-12966-31106-1259-8697,3009-1173-11671-11004-14361-11439-5182-8202,986-4439-3326-5489-2740-2555-1830-8113,5926-4131-2711-4956-2054-5109-1542-8191,2836-1482-2318-1272-2020-2251-792-3093,1877-1816-4963-3629-1221-2187-628-1257,easy
24621-33199-6166-13860-17908-7926-11197-115511,11463-15361-10636-11084-25321-9302-17000-141646,1893-2952-3582-12966-31106-1259-8697-15210,1173-11671-11004-14361-11439-5182-8202-55780,4439-3326-5489-2740-2555-1830-8113-8806,4131-2711-4956-2054-5109-1542-8191-13601,1482-2318-1272-2020-2251-792-3093-6282,1816-4963-3629-1221-2187-628-1257-2521,easy
33199-6166-13860-17908-7926-11197-115511-117868,15361-10636-11084-25321-9302-17000-141646-94668,2952-3582-12966-31106-1259-8697-15210-21106,11671-11004-14361-11439-5182-8202-55780-19445,3326-5489-2740-2555-1830-8113-8806-4936,2711-4956-2054-5109-1542-8191-13601-5558,2318-1272-2020-2251-792-3093-6282-3889,4963-3629-1221-2187-628-1257-2521-1493,easy
6166-13860-17908-7926-11197-115511-117868-50540,10636-11084-25321-9302-17000-141646-94668-26589,3582-12966-31106-1259-8697-15210-21106-15894,11004-14361-11439-5182-8202-55780-19445-11126,5489-2740-2555-1830-8113-8806-4936-9752,4956-2054-5109-1542-8191-13601-5558-6486,1272-2020-2251-792-3093-6282-3889-4589,3629-1221-2187-628-1257-2521-1493-1611,easy
13860-17908-7926-11197-115511-117868-50540-12146,11084-25321-9302-17000-141646-94668-26589-7265,12966-31106-1259-8697-15210-21106-15894-7615,14361-11439-5182-8202-55780-19445-11126-3638,2740-2555-1830-8113-8806-4936-9752-2090,2054-5109-1542-8191-13601-5558-6486-3396,2020-2251-792-3093-6282-3889-4589-983,1221-2187-628-1257-2521-1493-1611-1737,easy
17908-7926-11197-115511-117868-50540-12146-20068,25321-9302-17000-141646-94668-26589-7265-14167,31106-1259-8697-15210-21106-15894-7615-2339,11439-5182-8202-55780-19445-11126-3638-4270,2555-1830-8113-8806-4936-9752-2090-5654,5109-1542-8191-13601-5558-6486-3396-2205,2251-792-3093-6282-3889-4589-983-833,2187-628-1257-2521-1493-1611-1737-1402,easy
7926-11197-115511-117868-50540-12146-20068-48413,9302-17000-141646-94668-26589-7265-14167-54906,1259-8697-15210-21106-15894-7615-2339-17637,5182-8202-55780-19445-11126-3638-4270-8917,1830-8113-8806-4936-9752-2090-5654-36118,1542-8191-13601-5558-6486-3396-2205-12211,792-3093-6282-3889-4589-983-833-7410,628-1257-2521-1493-1611-1737-1402-2028,easy
11197-115511-117868-50540-12146-20068-48413-47392,17000-141646-94668-26589-7265-14167-54906-17804,8697-15210-21106-15894-7615-2339-17637-20960,8202-55780-19445-11126-3638-4270-8917-20396,8113-8806-4936-9752-2090-5654-36118-8175,8191-13601-5558-6486-3396-2205-12211-9928,3093-6282-3889-4589-983-833-7410-1901,1257-2521-1493-1611-1737-1402-2028-2593,easy
115511-117868-50540-12146-20068-48413-47392-45441,141646-94668-26589-7265-14167-54906-17804-50883,15210-21106-15894-7615-2339-17637-20960-12590,55780-19445-11126-3638-4270-8917-20396-6032,8806-4936-9752-2090-5654-36118-8175-21250,13601-5558-6486-3396-2205-12211-9928-9037,6282-3889-4589-983-833-7410-1901-5948,2521-1493-1611-1737-1402-2028-2593-4578,easy
117868-50540-12146-20068-48413-47392-45441-23803,94668-26589-7265-14167-54906-17804-50883-36152,21106-15894-7615-2339-17637-20960-12590-3419,19445-11126-3638-4270-8917-20396-6032-7491,4936-9752-2090-5654-36118-8175-21250-8580,5558-6486-3396-2205-12211-9928-9037-10474,3889-4589-983-833-7410-1901-5948-11448,1493-1611-1737-1402-2028-2593-4578-4399,easy
50540-12146-20068-48413-47392-45441-23803-132037,26589-7265-14167-54906-17804-50883-36152-184256,15894-7615-2339-17637-20960-12590-3419-34012,11126-3638-4270-8917-20396-6032-7491-69058,9752-2090-5654-36118-8175-21250-8580-31262,6486-3396-2205-12211-9928-9037-10474-20701,4589-983-833-7410-1901-5948-11448-6424,1611-1737-1402-2028-2593-4578-4399-7491,easy
12146-20068-48413-47392-45441-23803-132037-8769,7265-14167-54906-17804-50883-36152-184256-2070,7615-2339-17637-20960-12590-3419-34012-2282,3638-4270-8917-20396-6032-7491-69058-1409,2090-5654-36118-8175-21250-8580-31262-2500,3396-2205-12211-9928-9037-10474-20701-2071,983-833-7410-1901-5948-11448-6424-941,1737-1402-2028-2593-4578-4399-7491-690,easy
20068-48413-47392-45441-23803-132037-8769-61691,14167-54906-17804-50883-36152-184256-2070-24498,2339-17637-20960-12590-3419-34012-2282-10419,4270-8917-20396-6032-7491-69058-1409-16435,5654-36118-8175-21250-8580-31262-2500-9432,2205-12211-9928-9037-10474-20701-2071-8633,833-7410-1901-5948-11448-6424-941-8801,1402-2028-2593-4578-4399-7491-690-2212,easy
